City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
170,Numaran,MX,72.91,broken clouds,20.25,-101.9333,La Conquista La Piedad
173,Pozzallo,IT,72.25,clear sky,36.7305,14.8499,Mare Nostrum Petit Hôtel
175,Arraial Do Cabo,BR,67.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
178,Steubenville,US,74.91,broken clouds,40.3698,-80.634,Bayberry House Bed and Breakfast
182,Jurado,CO,76.71,light rain,7.1053,-77.7641,
184,Yaan,NG,71.01,overcast clouds,7.3833,8.5667,
185,Nouakchott,MR,82.33,overcast clouds,18.0858,-15.9785,HOTEL IMAN
186,Saint Anthony,US,82.29,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
190,Merauke,ID,81.79,few clouds,-8.4667,140.3333,
191,Zenzeli,RU,68.63,broken clouds,45.9241,47.0474,
193,Goure,NE,78.03,scattered clouds,13.9835,10.2704,
199,Cozumel,MX,89.67,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
200,Kawambwa,ZM,67.87,scattered clouds,-9.7915,29.0791,Chembe Nsofu
202,Kendari,ID,76.6,overcast clouds,-3.945,122.4989,Hotel Wixel
203,Pangai,TO,78.91,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
206,Santa Cruz,BO,87.85,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
207,Birnin Kebbi,NG,75.76,overcast clouds,12.4539,4.1975,Saffar Guest Inn Ltd
208,Lata,PT,71.08,overcast clouds,40.1629,-8.3327,Casa Maquia
209,Buenos Aires,AR,66.94,few clouds,-34.6132,-58.3772,Hotel NH Buenos Aires City
210,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
213,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
214,Namie,JP,82.71,light rain,37.4833,141.0,いこいの村なみえ(福島県)
216,Cabedelo,BR,75.87,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
218,Grand Gaube,MU,70.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
220,Iralaya,HN,82.22,broken clouds,15.0,-83.2333,Iglesia morava renovada
224,Kashi,CN,67.21,clear sky,39.4547,75.9797,帕米尔青年旅舍
226,Champerico,GT,77.54,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
227,Portmore,JM,87.76,few clouds,17.9702,-76.8672,Grand Hotel Excelsior Port Royal
229,Aloleng,PH,80.64,overcast clouds,16.1307,119.7824,Aloleng
231,Ponta Do Sol,PT,72.23,broken clouds,32.6667,-17.1,Hotel do Campo
232,Kogota,JP,75.09,light rain,38.55,141.05,ビジネスホテルせんだい屋
234,Port Blair,IN,81.57,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
236,Vila Franca Do Campo,PT,76.19,few clouds,37.7167,-25.4333,Pestana Bahia Praia
237,Caravelas,BR,67.69,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
241,Mahibadhoo,MV,81.75,overcast clouds,3.7833,72.9667,Omadhoo Inn
244,Marzuq,YE,78.33,scattered clouds,14.4,46.4667,حيد القفلة
246,Mahajanga,MG,73.42,clear sky,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
248,Hithadhoo,MV,81.77,overcast clouds,-0.6,73.0833,Scoop Guest House
249,Kavieng,PG,82.44,light rain,-2.5744,150.7967,Nusa Island Retreat
250,Rosarito,MX,83.25,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
251,Bonfim,BR,82.71,broken clouds,3.0833,-59.95,
252,Westfield,US,75.69,overcast clouds,42.1251,-72.7495,Quality Inn
255,Hambantota,LK,79.0,overcast clouds,6.1241,81.1185,Bungalow 63
257,Hamilton,US,82.44,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
258,Sechura,PE,68.45,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
261,Amapa,BR,82.89,overcast clouds,1.0,-52.0,
262,Beberibe,BR,77.77,broken clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
263,Faanui,PF,78.55,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
266,Ballina,AU,68.02,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
269,Cap Malheureux,MU,70.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
272,Palmas,BR,87.67,broken clouds,-10.2128,-48.3603,Hotel Lago da Palma
273,Omboue,GA,75.7,overcast clouds,-1.5746,9.2618,Hotel Olako
275,Natal,BR,79.02,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
276,Lodwar,KE,81.41,clear sky,3.1191,35.5973,Solmar Gracious Hotel
278,Xuddur,SO,72.61,overcast clouds,4.1213,43.8894,Banjanay Hotel
279,Quatre Cocos,MU,70.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
283,San Quintin,MX,72.7,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
285,Avera,US,86.05,clear sky,33.194,-82.5271,
286,Luanda,AO,70.36,clear sky,-8.8368,13.2343,EPIC SANA Luanda
